transaction_id,timestamp,transaction_type,amount,day_of_week,source
W78,2023-08-23 13:08:00,P2M,1422.16,Wednesday,wallet
W81,2023-08-23 17:36:00,P2M,4136.44,Wednesday,wallet
W82,2023-08-23 20:10:00,P2M,4527.36,Wednesday,wallet
W84,2023-08-24 03:27:00,P2M,2668.82,Thursday,wallet
W88,2023-08-24 06:02:00,P2M,12.86,Thursday,wallet
W89,2023-08-24 09:32:00,P2M,1445.33,Thursday,wallet
W90,2023-08-24 09:55:00,P2M,3635.8,Thursday,wallet
W93,2023-08-24 17:22:00,P2M,2207.77,Thursday,wallet
W94,2023-08-24 18:51:00,P2M,3366.31,Thursday,wallet
W95,2023-08-24 20:49:00,P2M,1238.04,Thursday,wallet
W97,2023-08-24 21:35:00,P2M,2966.49,Thursday,wallet
W99,2023-08-25 04:08:00,P2M,4804.37,Friday,wallet
W105,2023-08-25 10:33:00,P2M,311.14,Friday,wallet
W106,2023-08-25 14:43:00,P2M,4241.54,Friday,wallet
W108,2023-08-25 15:37:00,P2M,2356.93,Friday,wallet
W112,2023-08-25 21:29:00,P2M,3692.3,Friday,wallet
W113,2023-08-26 02:13:00,P2M,1142.21,Saturday,wallet
W114,2023-08-26 03:26:00,P2M,285.88,Saturday,wallet
W115,2023-08-26 07:11:00,P2M,4850.57,Saturday,wallet
W116,2023-08-26 07:19:00,P2M,2561.56,Saturday,wallet
W118,2023-08-26 14:47:00,P2M,4107.54,Saturday,wallet
W121,2023-08-27 02:29:00,P2M,401.62,Sunday,wallet
W123,2023-08-27 05:18:00,P2M,3219.31,Sunday,wallet
W128,2023-08-28 11:10:00,P2M,2008.49,Monday,wallet
W129,2023-08-28 13:13:00,P2M,159.65,Monday,wallet
W131,2023-08-28 19:42:00,P2M,808.63,Monday,wallet
W132,2023-08-29 01:01:00,P2M,4637.33,Tuesday,wallet
W134,2023-08-29 02:31:00,P2M,4260.66,Tuesday,wallet
W137,2023-08-29 07:18:00,P2M,4156.3,Tuesday,wallet
W141,2023-08-29 13:33:00,P2M,1377.65,Tuesday,wallet
W142,2023-08-29 13:51:00,P2M,2910.3,Tuesday,wallet
W145,2023-08-29 17:04:00,P2M,1131.67,Tuesday,wallet
W148,2023-08-29 20:26:00,P2M,2386.99,Tuesday,wallet
W149,2023-08-29 20:31:00,P2M,856.1,Tuesday,wallet
W150,2023-08-29 20:40:00,P2M,306.79,Tuesday,wallet
W151,2023-08-30 00:21:00,P2M,1197.19,Wednesday,wallet
W152,2023-08-30 04:36:00,P2M,1136.18,Wednesday,wallet
W154,2023-08-30 09:27:00,P2M,1266.71,Wednesday,wallet
W157,2023-08-30 22:22:00,P2M,4931.17,Wednesday,wallet
W159,2023-08-31 06:58:00,P2M,4045.53,Thursday,wallet
W160,2023-08-31 09:18:00,P2M,3895.7,Thursday,wallet
W162,2023-08-31 10:13:00,P2M,1617.22,Thursday,wallet
W163,2023-08-31 17:57:00,P2M,1362.66,Thursday,wallet
W164,2023-08-31 19:12:00,P2M,4473.63,Thursday,wallet
W166,2023-08-31 23:08:00,P2M,4832.85,Thursday,wallet
W167,2023-08-31 23:26:00,P2M,2981.17,Thursday,wallet
W168,2023-09-01 02:54:00,P2M,1166.92,Friday,wallet
W169,2023-09-01 07:20:00,P2M,2237.63,Friday,wallet
W170,2023-09-01 09:35:00,P2M,598.18,Friday,wallet
W174,2023-09-01 10:45:00,P2M,372.37,Friday,wallet
W177,2023-09-01 19:21:00,P2M,3218.18,Friday,wallet
W178,2023-09-01 20:36:00,P2M,3589.73,Friday,wallet
W180,2023-09-01 23:01:00,P2M,945.04,Friday,wallet
W181,2023-09-01 23:50:00,P2M,3652.06,Friday,wallet
W182,2023-09-02 00:54:00,P2M,3555.68,Saturday,wallet
W184,2023-09-02 03:37:00,P2M,2638.98,Saturday,wallet
W185,2023-09-02 05:42:00,P2M,3920.15,Saturday,wallet
W186,2023-09-02 06:18:00,P2M,3677.16,Saturday,wallet
W188,2023-09-02 07:45:00,P2M,2380.44,Saturday,wallet
W190,2023-09-02 10:17:00,P2M,1902.67,Saturday,wallet
W191,2023-09-02 10:23:00,P2M,3754.59,Saturday,wallet
W193,2023-09-02 14:29:00,P2M,428.94,Saturday,wallet
W194,2023-09-02 16:23:00,P2M,682.42,Saturday,wallet
W197,2023-09-02 18:43:00,P2M,916.85,Saturday,wallet
W198,2023-09-02 20:46:00,P2M,1648.58,Saturday,wallet
W199,2023-09-02 23:32:00,P2M,2443.03,Saturday,wallet
W201,2023-09-03 00:04:00,P2M,377.52,Sunday,wallet
W205,2023-09-03 19:13:00,P2M,2735.56,Sunday,wallet
W206,2023-09-03 22:12:00,P2M,2295.83,Sunday,wallet
W207,2023-09-03 22:39:00,P2M,3760.0,Sunday,wallet
W210,2023-09-04 04:09:00,P2M,4332.15,Monday,wallet
W211,2023-09-04 08:54:00,P2M,1447.42,Monday,wallet
W212,2023-09-04 09:48:00,P2M,66.4,Monday,wallet
W215,2023-09-04 16:29:00,P2M,2920.61,Monday,wallet
W217,2023-09-04 18:12:00,P2M,2173.06,Monday,wallet
W218,2023-09-04 18:41:00,P2M,3366.2,Monday,wallet
W221,2023-09-04 21:47:00,P2M,4275.89,Monday,wallet
W223,2023-09-04 23:04:00,P2M,3969.47,Monday,wallet
W224,2023-09-04 23:24:00,P2M,2385.83,Monday,wallet
W225,2023-09-05 00:22:00,P2M,836.49,Tuesday,wallet
W226,2023-09-05 02:35:00,P2M,4402.89,Tuesday,wallet
W229,2023-09-05 03:23:00,P2M,1786.58,Tuesday,wallet
W230,2023-09-05 07:32:00,P2M,1235.83,Tuesday,wallet
W231,2023-09-05 10:22:00,P2M,4687.13,Tuesday,wallet
W232,2023-09-05 10:58:00,P2M,4701.07,Tuesday,wallet
W234,2023-09-05 15:14:00,P2M,1374.3,Tuesday,wallet
W235,2023-09-05 17:52:00,P2M,933.09,Tuesday,wallet
W237,2023-09-05 18:53:00,P2M,1033.68,Tuesday,wallet
W241,2023-09-06 00:29:00,P2M,2693.45,Wednesday,wallet
W242,2023-09-06 03:10:00,P2M,936.51,Wednesday,wallet
W243,2023-09-06 03:18:00,P2M,3513.9,Wednesday,wallet
W244,2023-09-06 04:43:00,P2M,4792.41,Wednesday,wallet
W245,2023-09-06 05:24:00,P2M,3228.53,Wednesday,wallet
W247,2023-09-06 07:49:00,P2M,1709.78,Wednesday,wallet
W248,2023-09-06 08:20:00,P2M,2348.45,Wednesday,wallet
W249,2023-09-06 12:51:00,P2M,4571.47,Wednesday,wallet
W250,2023-09-06 13:19:00,P2M,853.06,Wednesday,wallet
W251,2023-09-06 18:44:00,P2M,420.58,Wednesday,wallet
W254,2023-09-07 05:53:00,P2M,2513.61,Thursday,wallet
W255,2023-09-07 07:41:00,P2M,3679.27,Thursday,wallet
W259,2023-09-07 13:56:00,P2M,1343.95,Thursday,wallet
W260,2023-09-07 17:28:00,P2M,1406.37,Thursday,wallet
W261,2023-09-07 19:03:00,P2M,4867.85,Thursday,wallet
W262,2023-09-07 20:41:00,P2M,256.9,Thursday,wallet
W263,2023-09-07 22:40:00,P2M,2024.18,Thursday,wallet
W264,2023-09-07 23:28:00,P2M,3442.47,Thursday,wallet
W265,2023-09-07 23:29:00,P2M,1842.26,Thursday,wallet
W266,2023-09-08 01:02:00,P2M,3638.28,Friday,wallet
W269,2023-09-08 05:31:00,P2M,3102.92,Friday,wallet
W272,2023-09-08 09:03:00,P2M,898.46,Friday,wallet
W275,2023-09-08 14:28:00,P2M,3572.19,Friday,wallet
W278,2023-09-09 01:22:00,P2M,1198.57,Saturday,wallet
W280,2023-09-09 06:16:00,P2M,1553.85,Saturday,wallet
W283,2023-09-09 22:33:00,P2M,3152.06,Saturday,wallet
W287,2023-09-10 08:33:00,P2M,4142.15,Sunday,wallet
W292,2023-09-10 16:14:00,P2M,4992.53,Sunday,wallet
W293,2023-09-10 16:19:00,P2M,4534.19,Sunday,wallet
W294,2023-09-10 17:27:00,P2M,1316.68,Sunday,wallet
W295,2023-09-10 18:27:00,P2M,4807.1,Sunday,wallet
W299,2023-09-11 10:56:00,P2M,3132.57,Monday,wallet
W300,2023-09-11 16:27:00,P2M,2466.42,Monday,wallet
W301,2023-09-11 17:48:00,P2M,2232.24,Monday,wallet
W302,2023-09-11 20:43:00,P2M,1741.88,Monday,wallet
W304,2023-09-12 02:51:00,P2M,4740.23,Tuesday,wallet
W305,2023-09-12 02:58:00,P2M,3673.5,Tuesday,wallet
W306,2023-09-12 03:02:00,P2M,2843.19,Tuesday,wallet
W312,2023-09-12 08:52:00,P2M,2151.26,Tuesday,wallet
W313,2023-09-12 08:58:00,P2M,2662.31,Tuesday,wallet
W314,2023-09-12 09:22:00,P2M,2962.48,Tuesday,wallet
W315,2023-09-12 09:55:00,P2M,1884.1,Tuesday,wallet
W321,2023-09-12 18:29:00,P2M,3997.82,Tuesday,wallet
W322,2023-09-12 19:06:00,P2M,402.59,Tuesday,wallet
W326,2023-09-13 06:55:00,P2M,2541.05,Wednesday,wallet
W329,2023-09-13 10:07:00,P2M,4666.76,Wednesday,wallet
W330,2023-09-13 13:21:00,P2M,382.43,Wednesday,wallet
W332,2023-09-13 15:32:00,P2M,4445.95,Wednesday,wallet
W333,2023-09-13 20:57:00,P2M,2780.17,Wednesday,wallet
W334,2023-09-13 21:09:00,P2M,673.1,Wednesday,wallet
W337,2023-09-14 00:37:00,P2M,3803.65,Thursday,wallet
W338,2023-09-14 03:15:00,P2M,1930.7,Thursday,wallet
W340,2023-09-14 04:48:00,P2M,3598.0,Thursday,wallet
W341,2023-09-14 04:53:00,P2M,2070.92,Thursday,wallet
W343,2023-09-14 06:08:00,P2M,3623.03,Thursday,wallet
W344,2023-09-14 06:09:00,P2M,1291.27,Thursday,wallet
W346,2023-09-14 09:07:00,P2M,3650.72,Thursday,wallet
W347,2023-09-14 14:29:00,P2M,960.14,Thursday,wallet
W348,2023-09-14 16:25:00,P2M,3054.31,Thursday,wallet
W349,2023-09-14 16:31:00,P2M,1957.32,Thursday,wallet
W350,2023-09-14 19:35:00,P2M,4053.87,Thursday,wallet
W352,2023-09-14 21:14:00,P2M,4220.89,Thursday,wallet
W353,2023-09-14 21:48:00,P2M,3831.32,Thursday,wallet
W354,2023-09-15 04:17:00,P2M,4874.87,Friday,wallet
W355,2023-09-15 07:48:00,P2M,2199.81,Friday,wallet
W356,2023-09-15 10:32:00,P2M,3686.71,Friday,wallet
W357,2023-09-15 10:54:00,P2M,1476.73,Friday,wallet
W359,2023-09-15 20:00:00,P2M,3327.75,Friday,wallet
W360,2023-09-15 20:18:00,P2M,3768.06,Friday,wallet
W366,2023-09-16 02:15:00,P2M,4387.71,Saturday,wallet
W368,2023-09-16 03:52:00,P2M,158.17,Saturday,wallet
W369,2023-09-16 07:13:00,P2M,1137.97,Saturday,wallet
W370,2023-09-16 10:21:00,P2M,603.83,Saturday,wallet
W371,2023-09-16 10:52:00,P2M,320.89,Saturday,wallet
W373,2023-09-16 13:46:00,P2M,3905.05,Saturday,wallet
W375,2023-09-16 16:54:00,P2M,4555.47,Saturday,wallet
W376,2023-09-16 17:03:00,P2M,3286.54,Saturday,wallet
W377,2023-09-16 21:07:00,P2M,252.02,Saturday,wallet
W378,2023-09-16 21:22:00,P2M,4995.58,Saturday,wallet
W379,2023-09-16 23:22:00,P2M,3744.66,Saturday,wallet
W380,2023-09-17 00:04:00,P2M,907.07,Sunday,wallet
W381,2023-09-17 00:34:00,P2M,2387.88,Sunday,wallet
W383,2023-09-17 05:55:00,P2M,1317.0,Sunday,wallet
W385,2023-09-17 08:00:00,P2M,694.38,Sunday,wallet
W387,2023-09-17 11:19:00,P2M,1709.11,Sunday,wallet
W388,2023-09-17 12:08:00,P2M,2435.87,Sunday,wallet
W391,2023-09-17 15:01:00,P2M,1348.84,Sunday,wallet
W392,2023-09-17 16:51:00,P2M,1139.75,Sunday,wallet
W396,2023-09-17 22:39:00,P2M,2536.14,Sunday,wallet
W397,2023-09-17 23:17:00,P2M,3455.9,Sunday,wallet
W398,2023-09-17 23:24:00,P2M,4317.53,Sunday,wallet
W401,2023-09-18 02:45:00,P2M,4473.69,Monday,wallet
W402,2023-09-18 04:59:00,P2M,3079.35,Monday,wallet
W403,2023-09-18 05:27:00,P2M,1363.75,Monday,wallet
W404,2023-09-18 06:26:00,P2M,10.09,Monday,wallet
W405,2023-09-18 12:48:00,P2M,2787.76,Monday,wallet
W406,2023-09-18 13:41:00,P2M,3576.38,Monday,wallet
W409,2023-09-18 20:50:00,P2M,4367.73,Monday,wallet
W413,2023-09-19 02:05:00,P2M,3512.44,Tuesday,wallet
W415,2023-09-19 05:25:00,P2M,1714.62,Tuesday,wallet
W416,2023-09-19 08:37:00,P2M,3771.43,Tuesday,wallet
W417,2023-09-19 11:19:00,P2M,2764.94,Tuesday,wallet
W418,2023-09-19 17:37:00,P2M,2355.03,Tuesday,wallet
W419,2023-09-19 17:46:00,P2M,412.96,Tuesday,wallet
W420,2023-09-19 20:01:00,P2M,4519.11,Tuesday,wallet
W421,2023-09-19 20:13:00,P2M,2652.52,Tuesday,wallet
W422,2023-09-19 21:17:00,P2M,3247.97,Tuesday,wallet
W425,2023-09-19 22:44:00,P2M,2457.12,Tuesday,wallet
W426,2023-09-19 23:13:00,P2M,1155.75,Tuesday,wallet
W429,2023-09-20 08:50:00,P2M,44.43,Wednesday,wallet
W430,2023-09-20 10:27:00,P2M,2895.36,Wednesday,wallet
W431,2023-09-20 10:38:00,P2M,1773.25,Wednesday,wallet
W432,2023-09-20 14:11:00,P2M,3135.95,Wednesday,wallet
W435,2023-09-20 18:43:00,P2M,4732.76,Wednesday,wallet
W439,2023-09-20 22:32:00,P2M,2775.3,Wednesday,wallet
W440,2023-09-20 23:22:00,P2M,2258.97,Wednesday,wallet
W441,2023-09-21 01:31:00,P2M,1831.1,Thursday,wallet
W443,2023-09-21 04:39:00,P2M,153.14,Thursday,wallet
W445,2023-09-21 08:38:00,P2M,1369.03,Thursday,wallet
W447,2023-09-21 09:58:00,P2M,1637.09,Thursday,wallet
W448,2023-09-21 10:19:00,P2M,4367.71,Thursday,wallet
W449,2023-09-21 11:36:00,P2M,4418.83,Thursday,wallet
W450,2023-09-21 11:54:00,P2M,268.75,Thursday,wallet
W451,2023-09-21 13:53:00,P2M,1794.75,Thursday,wallet
W453,2023-09-21 14:21:00,P2M,4155.44,Thursday,wallet
W454,2023-09-21 15:56:00,P2M,404.28,Thursday,wallet
W456,2023-09-21 21:19:00,P2M,2145.74,Thursday,wallet
W457,2023-09-21 21:29:00,P2M,4054.27,Thursday,wallet
W464,2023-09-22 05:40:00,P2M,1266.93,Friday,wallet
W466,2023-09-22 11:27:00,P2M,3885.43,Friday,wallet
W467,2023-09-22 12:00:00,P2M,4890.97,Friday,wallet
W468,2023-09-22 14:08:00,P2M,1796.55,Friday,wallet
W469,2023-09-22 21:41:00,P2M,1189.79,Friday,wallet
W471,2023-09-22 23:15:00,P2M,3572.09,Friday,wallet
W472,2023-09-22 23:16:00,P2M,1984.86,Friday,wallet
W473,2023-09-22 23:24:00,P2M,1385.33,Friday,wallet
W474,2023-09-23 00:46:00,P2M,4133.04,Saturday,wallet
W475,2023-09-23 01:31:00,P2M,1768.57,Saturday,wallet
W476,2023-09-23 01:32:00,P2M,3538.36,Saturday,wallet
W477,2023-09-23 01:33:00,P2M,1764.68,Saturday,wallet
W478,2023-09-23 03:28:00,P2M,723.35,Saturday,wallet
W482,2023-09-23 06:19:00,P2M,4313.67,Saturday,wallet
W483,2023-09-23 06:22:00,P2M,4105.71,Saturday,wallet
W484,2023-09-23 07:11:00,P2M,4603.86,Saturday,wallet
W485,2023-09-23 08:07:00,P2M,3507.5,Saturday,wallet
W488,2023-09-23 13:10:00,P2M,370.81,Saturday,wallet
W489,2023-09-23 15:02:00,P2M,1473.57,Saturday,wallet
W491,2023-09-23 15:38:00,P2M,1115.1,Saturday,wallet
W492,2023-09-23 17:00:00,P2M,165.66,Saturday,wallet
W495,2023-09-23 17:31:00,P2M,507.62,Saturday,wallet
W498,2023-09-23 22:17:00,P2M,2059.29,Saturday,wallet
W500,2023-09-23 23:34:00,P2M,3835.64,Saturday,wallet
W501,2023-09-24 04:52:00,P2M,2087.44,Sunday,wallet
W504,2023-09-24 09:16:00,P2M,1835.3,Sunday,wallet
W507,2023-09-24 15:44:00,P2M,526.51,Sunday,wallet
W508,2023-09-24 22:28:00,P2M,4646.78,Sunday,wallet
W510,2023-09-25 02:38:00,P2M,2500.68,Monday,wallet
W514,2023-09-25 10:14:00,P2M,1421.74,Monday,wallet
W516,2023-09-25 12:01:00,P2M,3301.24,Monday,wallet
W518,2023-09-25 16:47:00,P2M,3392.59,Monday,wallet
W519,2023-09-25 17:23:00,P2M,4986.49,Monday,wallet
W520,2023-09-25 18:05:00,P2M,1291.54,Monday,wallet
W521,2023-09-25 18:07:00,P2M,3823.98,Monday,wallet
W523,2023-09-25 18:40:00,P2M,3738.82,Monday,wallet
W525,2023-09-26 04:45:00,P2M,2359.7,Tuesday,wallet
W526,2023-09-26 06:08:00,P2M,3741.75,Tuesday,wallet
W528,2023-09-26 13:16:00,P2M,2068.64,Tuesday,wallet
W535,2023-09-26 19:52:00,P2M,2351.54,Tuesday,wallet
W537,2023-09-27 01:40:00,P2M,695.38,Wednesday,wallet
W541,2023-09-27 09:10:00,P2M,957.38,Wednesday,wallet
W542,2023-09-27 09:54:00,P2M,3945.67,Wednesday,wallet
W546,2023-09-27 15:40:00,P2M,1939.64,Wednesday,wallet
W547,2023-09-27 15:42:00,P2M,2055.35,Wednesday,wallet
W548,2023-09-27 17:40:00,P2M,3394.15,Wednesday,wallet
W549,2023-09-27 18:54:00,P2M,4029.24,Wednesday,wallet
W550,2023-09-27 21:20:00,P2M,1926.08,Wednesday,wallet
W551,2023-09-27 22:01:00,P2M,1835.06,Wednesday,wallet
W552,2023-09-27 22:49:00,P2M,3358.58,Wednesday,wallet
W553,2023-09-27 23:45:00,P2M,433.88,Wednesday,wallet
W554,2023-09-28 06:22:00,P2M,811.48,Thursday,wallet
W555,2023-09-28 07:35:00,P2M,3676.64,Thursday,wallet
W556,2023-09-28 10:32:00,P2M,587.95,Thursday,wallet
W557,2023-09-28 10:57:00,P2M,1535.8,Thursday,wallet
W562,2023-09-28 19:49:00,P2M,4599.82,Thursday,wallet
W563,2023-09-28 19:51:00,P2M,3392.06,Thursday,wallet
W564,2023-09-29 00:43:00,P2M,3602.3,Friday,wallet
W568,2023-09-29 05:13:00,P2M,659.74,Friday,wallet
W569,2023-09-29 08:53:00,P2M,667.02,Friday,wallet
W571,2023-09-29 14:01:00,P2M,3497.7,Friday,wallet
W572,2023-09-29 15:55:00,P2M,1933.25,Friday,wallet
W573,2023-09-30 05:34:00,P2M,3726.57,Saturday,wallet
W574,2023-09-30 08:32:00,P2M,4333.47,Saturday,wallet
W578,2023-09-30 10:07:00,P2M,3875.53,Saturday,wallet
W579,2023-09-30 13:03:00,P2M,989.17,Saturday,wallet
W585,2023-09-30 23:37:00,P2M,2922.18,Saturday,wallet
W588,2023-10-01 04:05:00,P2M,56.36,Sunday,wallet
W589,2023-10-01 04:20:00,P2M,4348.26,Sunday,wallet
W590,2023-10-01 06:13:00,P2M,1006.67,Sunday,wallet
W591,2023-10-01 09:36:00,P2M,1294.23,Sunday,wallet
W592,2023-10-01 10:02:00,P2M,1240.98,Sunday,wallet
W595,2023-10-01 12:16:00,P2M,2870.53,Sunday,wallet
W596,2023-10-01 13:47:00,P2M,4180.75,Sunday,wallet
W597,2023-10-01 14:16:00,P2M,1605.49,Sunday,wallet
W599,2023-10-01 15:41:00,P2M,1888.69,Sunday,wallet
W600,2023-10-01 16:38:00,P2M,4092.51,Sunday,wallet
W601,2023-10-01 18:51:00,P2M,4304.62,Sunday,wallet
W602,2023-10-01 18:59:00,P2M,2630.55,Sunday,wallet
W603,2023-10-01 20:24:00,P2M,1366.02,Sunday,wallet
W606,2023-10-01 22:08:00,P2M,3805.3,Sunday,wallet
W607,2023-10-01 22:22:00,P2M,2550.95,Sunday,wallet
W610,2023-10-02 01:39:00,P2M,4051.12,Monday,wallet
W611,2023-10-02 04:45:00,P2M,263.84,Monday,wallet
W613,2023-10-02 10:55:00,P2M,2030.78,Monday,wallet
W615,2023-10-02 13:00:00,P2M,2233.31,Monday,wallet
W616,2023-10-02 13:46:00,P2M,3580.89,Monday,wallet
W617,2023-10-02 14:27:00,P2M,1185.85,Monday,wallet
W620,2023-10-02 22:07:00,P2M,4809.17,Monday,wallet
W622,2023-10-02 23:17:00,P2M,1758.56,Monday,wallet
W624,2023-10-03 01:48:00,P2M,3187.13,Tuesday,wallet
W625,2023-10-03 03:00:00,P2M,4717.89,Tuesday,wallet
W626,2023-10-03 03:11:00,P2M,2228.22,Tuesday,wallet
W633,2023-10-03 13:41:00,P2M,644.26,Tuesday,wallet
W634,2023-10-03 13:46:00,P2M,1172.24,Tuesday,wallet
W635,2023-10-03 13:59:00,P2M,3898.74,Tuesday,wallet
W636,2023-10-03 14:19:00,P2M,4058.52,Tuesday,wallet
W639,2023-10-03 18:58:00,P2M,3411.26,Tuesday,wallet
W640,2023-10-03 19:56:00,P2M,4516.03,Tuesday,wallet
W641,2023-10-03 20:12:00,P2M,2075.75,Tuesday,wallet
W644,2023-10-04 00:45:00,P2M,4920.2,Wednesday,wallet
W645,2023-10-04 01:35:00,P2M,2898.12,Wednesday,wallet
W648,2023-10-04 07:34:00,P2M,1817.18,Wednesday,wallet
W649,2023-10-04 08:49:00,P2M,1090.14,Wednesday,wallet
W651,2023-10-04 11:20:00,P2M,1500.37,Wednesday,wallet
W653,2023-10-04 15:43:00,P2M,2950.95,Wednesday,wallet
W656,2023-10-04 22:20:00,P2M,1639.68,Wednesday,wallet
W658,2023-10-05 00:43:00,P2M,2517.22,Thursday,wallet
W659,2023-10-05 03:08:00,P2M,4554.62,Thursday,wallet
W661,2023-10-05 09:27:00,P2M,3052.83,Thursday,wallet
W662,2023-10-05 09:45:00,P2M,4075.28,Thursday,wallet
W665,2023-10-05 14:25:00,P2M,3375.92,Thursday,wallet
W667,2023-10-05 19:18:00,P2M,382.63,Thursday,wallet
W669,2023-10-05 22:27:00,P2M,4277.68,Thursday,wallet
W670,2023-10-05 23:36:00,P2M,4890.47,Thursday,wallet
W671,2023-10-05 23:38:00,P2M,4385.77,Thursday,wallet
W672,2023-10-06 00:16:00,P2M,4398.77,Friday,wallet
W675,2023-10-06 02:35:00,P2M,3984.8,Friday,wallet
W676,2023-10-06 09:50:00,P2M,3319.67,Friday,wallet
W677,2023-10-06 10:07:00,P2M,3472.97,Friday,wallet
W680,2023-10-06 12:05:00,P2M,2996.37,Friday,wallet
W681,2023-10-06 13:29:00,P2M,150.67,Friday,wallet
W684,2023-10-06 14:52:00,P2M,2674.5,Friday,wallet
W686,2023-10-06 18:18:00,P2M,3220.93,Friday,wallet
W687,2023-10-06 19:14:00,P2M,3790.97,Friday,wallet
W692,2023-10-07 10:27:00,P2M,1585.86,Saturday,wallet
W698,2023-10-07 23:49:00,P2M,1388.93,Saturday,wallet
W699,2023-10-08 00:22:00,P2M,1939.17,Sunday,wallet
W700,2023-10-08 02:13:00,P2M,3883.54,Sunday,wallet
W703,2023-10-08 07:32:00,P2M,2933.57,Sunday,wallet
W706,2023-10-08 19:26:00,P2M,646.39,Sunday,wallet
W708,2023-10-08 23:14:00,P2M,2330.76,Sunday,wallet
W709,2023-10-09 06:11:00,P2M,2956.37,Monday,wallet
W711,2023-10-09 07:11:00,P2M,4376.42,Monday,wallet
W714,2023-10-09 08:34:00,P2M,3060.86,Monday,wallet
W715,2023-10-09 09:58:00,P2M,250.14,Monday,wallet
W716,2023-10-09 17:12:00,P2M,4462.8,Monday,wallet
W718,2023-10-09 17:57:00,P2M,1623.8,Monday,wallet
W720,2023-10-09 23:04:00,P2M,2182.06,Monday,wallet
W725,2023-10-10 06:22:00,P2M,717.33,Tuesday,wallet
W726,2023-10-10 06:39:00,P2M,2231.34,Tuesday,wallet
W728,2023-10-10 09:48:00,P2M,3300.96,Tuesday,wallet
W729,2023-10-10 10:31:00,P2M,3316.48,Tuesday,wallet
W732,2023-10-10 13:08:00,P2M,1139.84,Tuesday,wallet
W733,2023-10-10 14:14:00,P2M,4266.1,Tuesday,wallet
W734,2023-10-10 16:48:00,P2M,718.43,Tuesday,wallet
W736,2023-10-10 18:51:00,P2M,1628.13,Tuesday,wallet
W740,2023-10-10 23:04:00,P2M,446.56,Tuesday,wallet
W741,2023-10-11 00:53:00,P2M,4615.59,Wednesday,wallet
W744,2023-10-11 07:41:00,P2M,2218.43,Wednesday,wallet
W745,2023-10-11 07:51:00,P2M,3109.68,Wednesday,wallet
